Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
5,4h,Hybrid,6/10/2024 1:45,102.9,-3.7,19.3,3194,191,3200,151.6,168.1,-6.7,23.4,39.4,76.22222222,74.69777778,,14.3,-4.44,-3.7,22,32.89601555
6,4h,Hybrid,6/10/2024 1:46,100.7,-2.4,16.6,4363,992,4474,136.3,151,7.9,18.6,36.8,74.59259259,73.10074074,,11.6,-2.88,-2.4,22,53.17775571
7,4h,Hybrid,6/10/2024 1:46,102.9,-0.1,10.8,3404,-372,3424,131.2,150.6,-6.2,10.8,24.7,76.22222222,74.69777778,,5.8,-0.12,-0.1,22,29.46550049
8,8i,Iron,6/10/2024 1:48,85,-2.8,25.7,5015,-1054,5125,108.5,119.3,-15.4,21.3,44,68,66.64,,20.7,-3.36,-2.8,39,46.6
9,8i,Iron,6/10/2024 1:48,89.5,-1.4,25.2,5589,-1239,5725,113.9,124.3,-14.3,23,45.2,71.6,70.168,,20.2,-1.68,-1.4,39,48.60335196
10,8i,Iron,6/10/2024 1:49,80.5,3.7,27.9,5907,712,5950,98.8,108.3,12.1,21.1,45.7,64.4,63.112,,22.9,4.44,3.7,39,82.22360248
11,8i,Iron,6/10/2024 1:49,85,2.2,27.9,6044,263,6050,105.5,114.9,6.5,23.5,47,68,66.64,,22.9,2.64,2.2,39,74.2
12,8i,Iron,6/10/2024 1:49,78.3,2.8,28,5299,28,5299,97.2,107.2,5.6,20.3,44.9,62.64,61.3872,,23,3.36,2.8,39,68.03320562
13,8i,Iron,6/10/2024 1:50,82.8,1.3,29.2,6142,1156,6250,103.6,112.6,11.1,24.3,47.9,66.24,64.9152,,24.2,1.56,1.3,39,88.14009662
14,3w,FW,6/10/2024 1:52,114.1,2.2,26.3,4647,1843,4999,157.4,170.1,39.3,40.3,52.1,78.68965517,77.11586207,,19.3,2.64,2.2,15,56.87992989
15,3w,FW,6/10/2024 1:52,118.6,0.9,24.2,3949,1763,4325,171.3,185.5,42.6,40,50.9,81.79310345,80.15724138,,17.2,1.08,0.9,15,48.1618887
16,3w,FW,6/10/2024 1:53,123,-7.7,19.7,2782,490,2825,197.3,215.7,-11.3,35.2,44.3,84.82758621,83.13103448,,12.7,-9.24,-7.7,15,26.60162602
17,3w,FW,6/10/2024 1:55,125.3,7.1,25.2,4908,2798,5650,169,174.2,70.3,44,54.1,86.4137931,84.68551724,,18.2,8.52,7.1,15,61.50039904
18,3w,FW,6/10/2024 1:55,125.3,3.3,23.7,4494,2074,4949,175.8,180.6,52.9,42.9,52.3,86.4137931,84.68551724,,16.7,3.96,3.3,15,52.41819633
19,Dr,Driver,6/10/2024 1:57,123,-7.1,19.6,5027,2523,5625,169.6,182.5,22.7,33.9,48.4,79.35483871,77.76774194,,7.6,-8.52,-7.1,10.5,61.38211382
20,Dr,Driver,6/10/2024 1:57,118.6,-10.4,22.5,5218,2752,5899,161.5,173.3,12.8,36.4,50.7,76.51612903,74.98580645,,10.5,-12.48,-10.4,10.5,67.20067454
21,Dr,Driver,6/10/2024 1:58,118.6,-6.3,22.8,4440,2011,4874,168.6,182,20.2,37.7,50.2,76.51612903,74.98580645,,10.8,-7.56,-6.3,10.5,54.39291737
22,Dr,Driver,6/10/2024 1:58,123,7.3,24.8,5508,3901,6750,155.5,165.6,75,40.5,57.4,79.35483871,77.76774194,,12.8,8.76,7.3,10.5,76.49593496
